Date,Price
18-Jan-23,20.849
19-Jan-23,21.42
20-Jan-23,25.55
21-Jan-23,24.547
22-Jan-23,24.222
23-Jan-23,24.316
24-Jan-23,22.767
25-Jan-23,24.51
26-Jan-23,24.349
27-Jan-23,24.42
28-Jan-23,24.016
29-Jan-23,26.097
30-Jan-23,23.966
31-Jan-23,23.923
1-Feb-23,24.986
2-Feb-23,24.254
3-Feb-23,24.67
4-Feb-23,24.35
5-Feb-23,23.464
6-Feb-23,22.652
7-Feb-23,23.825
8-Feb-23,23.215
9-Feb-23,20.48
10-Feb-23,20.122
11-Feb-23,20.813
12-Feb-23,21.502
13-Feb-23,20.777
14-Feb-23,21.842
15-Feb-23,23.88
16-Feb-23,22.293
17-Feb-23,23.148
18-Feb-23,23.453
19-Feb-23,24.869
20-Feb-23,26.245
21-Feb-23,24.98
22-Feb-23,24.162
23-Feb-23,23.918
24-Feb-23,23.08
25-Feb-23,22.378
26-Feb-23,23.274
27-Feb-23,22.677
28-Feb-23,21.88
1-Mar-23,22.52
2-Mar-23,21.997
3-Mar-23,21.423
4-Mar-23,20.988
5-Mar-23,20.974
6-Mar-23,20.61
7-Mar-23,20.236
8-Mar-23,18.41
9-Mar-23,17.341
10-Mar-23,18.208
11-Mar-23,18.113
12-Mar-23,20.184
13-Mar-23,20.425
14-Mar-23,20.914
15-Mar-23,19.261
16-Mar-23,19.697
17-Mar-23,21.624
18-Mar-23,21.215
19-Mar-23,21.855
20-Mar-23,22.147
21-Mar-23,22.574
22-Mar-23,21.425
23-Mar-23,22.184
24-Mar-23,20.659
25-Mar-23,20.425
26-Mar-23,20.957
27-Mar-23,19.9
28-Mar-23,20.453
29-Mar-23,21.11
30-Mar-23,20.555
31-Mar-23,21.165
1-Apr-23,21.072
2-Apr-23,20.524
3-Apr-23,20.446
4-Apr-23,20.922
5-Apr-23,20.97
6-Apr-23,20.62
7-Apr-23,20.446
8-Apr-23,20.043
9-Apr-23,20.285
10-Apr-23,20.904
11-Apr-23,22.982
12-Apr-23,23.788
13-Apr-23,24.437
14-Apr-23,24.723
15-Apr-23,24.047
16-Apr-23,25.36
17-Apr-23,24.569
18-Apr-23,24.823
19-Apr-23,22.683
20-Apr-23,22.183
21-Apr-23,21.267
22-Apr-23,21.795
23-Apr-23,21.47
24-Apr-23,21.38
25-Apr-23,21.92
26-Apr-23,21.284
27-Apr-23,22.332
28-Apr-23,23.348
29-Apr-23,23.186
30-Apr-23,22.739
